,item_ids,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,graph_url,graph_types,question,task_types,graph_types_ctl,task_types_ctl,test_name,open_answer
0,CALVI_1,Summer,Winter,Cannot be inferred / Inadequate Information,,Summer,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T1.png,Choropleth map,Do U.S. states have a more similar number of sunny days in the summer or in the winter?,Make Comparisons,Choropleth map,Make Comparisons,CALVI,multiple-choice
1,CALVI_2,Summer,Winter,Cannot be inferred / Inadequate Information,,Winter,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T2.png,Choropleth map,Do U.S. states have a more similar number of windy days in the summer or in the winter?,Make Comparisons,Choropleth map,Make Comparisons,CALVI,multiple-choice
2,CALVI_3,20%,40%,60%,80%,60%,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T3.png,Bar chart,What is the number of concert tickets sold on Aug 10 as a proportion of that on Aug 11?,Make Comparisons,Bar chart,Make Comparisons,CALVI,multiple-choice
3,CALVI_4,17%,25%,50%,90%,17%,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T4.png,Bar chart,What is the price of water bottle from store A as a proportion of that from store B?,Make Comparisons,Bar chart,Make Comparisons,CALVI,multiple-choice
4,CALVI_5,25%,33%,75%,100%,100%,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T5.png,Stacked bar chart,"On May 06 in city Z, what is the number of visitors at train station B as a proportion of that at train station C?",Make Comparisons,Stacked bar chart,Make Comparisons,CALVI,multiple-choice
5,CALVI_6,Generally increasing,Generally decreasing,Generally constant,Cannot be inferred / Inadequate Information,Generally constant,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T6.png,Line chart,What is the trend for the percentage of bacteria Z from 1970 to 2020?,Find Correlations/Trends,Line chart,Find Correlations/Trends,CALVI,multiple-choice
6,CALVI_7,33%,67%,100%,200%,200%,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T8.png,Stacked area chart,"Approximately, what is the total number of visitors at amusement park B as a proportion of that at amusement park C from May to December?",Make Comparisons,Stacked area chart,Make Comparisons,CALVI,multiple-choice
7,CALVI_8,20%,50%,60%,90%,20%,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T9.png,Stacked area chart,"Approximately, what is brand C’s total sales as a proportion of brand B’s total sales from Jan 01 to Mar 15?",Make Comparisons,Stacked area chart,Make Comparisons,CALVI,multiple-choice
8,CALVI_9,True,False,Cannot be inferred / Inadequate Information,,True,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T10.png,Choropleth map,True or False: Predatory species Z is more prevalent in NC than in AZ.,Make Comparisons,Choropleth map,Make Comparisons,CALVI,multiple-choice
9,CALVI_10,True,False,Cannot be inferred / Inadequate Information,,False,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T11.png,Choropleth map,True or False: WY has a higher risk of bacteria Z infection than ND.,Make Comparisons,Choropleth map,Make Comparisons,CALVI,multiple-choice
10,CALVI_11,True,False,Cannot be inferred / Inadequate Information,,True,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T12.png,Bar chart,True or False: The annual number of trees planted in town Z has been increasing from 1960 to 1980.,Find Correlations/Trends,Bar chart,Find Correlations/Trends,CALVI,multiple-choice
11,CALVI_12,Increasing,Decreasing,Constant,,Decreasing,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T13.png,Bar chart,What is the trend of the number of bookstores in city Z from 2000 to 2020?,Find Correlations/Trends,Bar chart,Find Correlations/Trends,CALVI,multiple-choice
12,CALVI_13,There were more new movies released in 1992 than in 1994.,2000 had the most number of new movies released.,There were more new movies released in 1996 than in 1995.,None of the above.,2000 had the most number of new movies released.,There were more new movies released in 1996 than in 1995.,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T14.png,Line chart,Which of the following is true about the annual number of new movies released in city X?,Make Comparisons,Line chart,Make Comparisons,CALVI,multiple-choice
13,CALVI_14,"Decreasing, then increasing","Increasing, then decreasing",Cannot be inferred / Inadequate Information,,"Decreasing, then increasing",,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T15.png,Line chart,What is the trend of the total sales for item X from Apr to Aug?,Find Correlations/Trends,Line chart,Find Correlations/Trends,CALVI,multiple-choice
14,CALVI_15,"Increasing, then decreasing","Decreasing, then increasing",Cannot be inferred / Inadequate Information,,"Increasing, then decreasing",,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T16.png,Area chart,What is the trend of the total number of apples harvested in farm X from Jan 11 to Jan 14?,Find Correlations/Trends,Area chart,Find Correlations/Trends,CALVI,multiple-choice
15,CALVI_16,Generally increases,Generally decreases,Generally constant,Cannot be inferred / Inadequate Information,Generally increases,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T17.png,Scatterplot,What is the trend of the growth for plant species P as the number of hours of sunlight exposure per month increases?,Find Correlations/Trends,Scatterplot,Find Correlations/Trends,CALVI,multiple-choice
16,CALVI_17,More employees have vacation days at D than those at A.,More employees have a satisfaction rating at B than those who have a rating at C.,Employee satisfaction rating decreases as the annual number of vacation days increases.,None of the above.,More employees have a satisfaction rating at B than those who have a rating at C.,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T18.png,Scatterplot,Which of the following is true about company Z?,Make Comparisons,Scatterplot,Make Comparisons,CALVI,multiple-choice
17,CALVI_18,Generally increases,Generally decreases,Generally constant,Cannot be inferred / Inadequate Information,Generally decreases,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T19.png,Scatterplot,What is the trend of the survival rate as weight increases for species Z?,Find Correlations/Trends,Scatterplot,Find Correlations/Trends,CALVI,multiple-choice
18,CALVI_19,It is more prevalent in region D than in E.,It is less prevalent in region B than in C.,It is more prevalent in region C than in A.,It is less prevalent in region C than in D.,It is more prevalent in region C than in A.,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T20.png,Choropleth map,Which of the following is true about the prevalence of the plant species Y?,Make Comparisons,Choropleth map,Make Comparisons,CALVI,multiple-choice
19,CALVI_20,The amount of rainfall peaked at the end of the past 14 days.,There was more rainfall at the beginning than at the end of the past 14 days.,None of the days had lower than 40mm of rainfall.,The amount of rainfall peaked at the beginning of the past 14 days.,The amount of rainfall peaked at the end of the past 14 days.,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T21.png,Bar chart,"Assuming today is May 10 and given the chart below, which statement about rainfall (mm) is true for the past 14 days?",Find Extremum,Bar chart,Find Extremum,CALVI,multiple-choice
20,CALVI_21,True,False,Cannot be inferred / Inadequate Information,,True,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T22.png,Line chart,True or False: The number of visitors at airport X is decreasing from 2000 to 2005.,Find Correlations/Trends,Line chart,Find Correlations/Trends,CALVI,multiple-choice
21,CALVI_22,Yes,No,Cannot be inferred / Inadequate Information,,Yes,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T23.png,Area chart,Is the total number of shirts sold by company Z in the first half of 2021 higher than that in the second half?,Find Correlations/Trends,Area chart,Find Correlations/Trends,CALVI,multiple-choice
22,CALVI_23,The market share of brand C is on an increasing trend from 2001 to 2005.,The market share of brand C is higher in 2001 than in 2002.,Brand B had the largest market share in 2001 compared to its market share in the other years.,None of the above.,The market share of brand C is on an increasing trend from 2001 to 2005.,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T25.png,100% stacked bar chart,Which of the following is true about the three brands of shampoo in city Y from 2001 to 2005?,Find Correlations/Trends,100% stacked bar chart,Find Correlations/Trends,CALVI,multiple-choice
23,CALVI_24,50%,60%,70%,80%,50%,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T26.png,Bar chart,"Approximately, what is the number of votes for candidate A as a proportion of those for candidate B?",Make Comparisons,Bar chart,Make Comparisons,CALVI,multiple-choice
24,CALVI_25,True,False,Cannot be inferred / Inadequate Information,,False,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T27.png,Line chart,True or False: GDP per capita for country Z grew faster from 2000 to 2003 than from 2005 to 2008.,Find Correlations/Trends,Line chart,Find Correlations/Trends,CALVI,multiple-choice
25,CALVI_26,Yes,No,Cannot be inferred / Inadequate Information,,Yes,No,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T28.png,Pie Chart,Does cell phone brand A have more than half of the total market share?,Make Comparisons,Pie Chart,Make Comparisons,CALVI,multiple-choice
26,CALVI_27,Yes,No,Cannot be inferred / Inadequate Information,,No,Yes,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T29.png,Pie Chart,Are there more households with exactly 1 car than households with exactly 2 cars?,Make Comparisons,Pie Chart,Make Comparisons,CALVI,multiple-choice
27,CALVI_28,Yes,No,Cannot be inferred / Inadequate Information,,Yes,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T30.png,Choropleth Map,Was the average amount of precipitation over 15 years in region D higher than that in region C?,Make Comparisons,Choropleth Map,Make Comparisons,CALVI,multiple-choice
28,CALVI_29,2004 has more copies sold than 2003.,Copies sold per year fell sharply in 2022.,Copies sold per year has been strictly increasing since 2003.,None of the above.,Copied sold per year fell sharply in 2022.,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T34.png,Line chart,"Company A sells a board game. Assuming today is Jun 01, 2022, which of the following statements is true?",Make Comparisons,Line chart,Make Comparisons,CALVI,multiple-choice
29,CALVI_30,All three farms planted more vegetables in 2022 than they did in the previous years.,All three farms planted fewer vegetables in 2022 than they did in the previous years.,All three farms planted about the same amount of vegetables in 2022 than they did in the previous years.,None of the above.,All three farms planted fewer vegetables in 2022 than they did in previous years.,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T35.png,Stacked bar chart,"Assuming today is Feb 20, 2022, which of the following is true about the vegetables planted by the three farms?",Make Comparisons,Stacked bar chart,Make Comparisons,CALVI,multiple-choice
30,CALVI_31,Yes,No,Cannot be inferred / Inadequate Information,,Yes,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T36.png,Stacked bar chart,"Assuming today is Apr 10, 2022, did the total number of cars parked in the three parking lots fall sharply in 2022?",Make Comparisons,Stacked bar chart,Make Comparisons,CALVI,multiple-choice
31,CALVI_32,Company Z had more new employees in 2018 than in 2020.,The number of new employees per year fell sharply in 2022.,The total number of employees in company Z decreased in 2022.,None of the above.,The number of new employees per year fell sharply in 2022.,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T37.png,Area chart,"Assuming today is May 01, 2022, which of the following statements is true?",Make Comparisons,Area chart,Make Comparisons,CALVI,multiple-choice
32,CALVI_33,True,False,Cannot be inferred / Inadequate Information,,True,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T38.png,Scatterplot,"True or False: Within each town, is there a negative relationship between average daily working hours and happiness score?",Find Correlations/Trends,Scatterplot,Find Correlations/Trends,CALVI,multiple-choice
33,CALVI_34,Yes,No,Cannot be inferred / Inadequate Information,,Yes,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T39.png,Scatterplot,"Within each city, is there a positive relationship between salary and average daily working hours?",Find Correlations/Trends,Scatterplot,Find Correlations/Trends,CALVI,multiple-choice
34,CALVI_35,Yes,No,Cannot be inferred / Inadequate Information,,No,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T40.png,Scatterplot,Does any members of species C weigh more than 5 lbs?,Retrieve Value,Scatterplot,Retrieve Value,CALVI,multiple-choice
35,CALVI_36,A,B,C,Cannot be inferred / inadequate information,B,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T42.png,Choropleth map,"Which region had the highest number of confirmed cases per 1,000 people?",Make Comparisons,Choropleth map,Make Comparisons,CALVI,multiple-choice
36,CALVI_37,Generally increasing,Generally decreasing,Generally constant,Cannot be inferred / inadequate information,Generally increasing,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T43.png,Line chart,What is the trend of sales in gift shop A from Jan to Dec?,Find Correlations/Trends,Line chart,Find Correlations/Trends,CALVI,multiple-choice
37,CALVI_38,Generally increasing,Generally decreasing,Generally constant,Cannot be inferred / inadequate information,Generally constant,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T44.png,Line chart,What is the trend of the average price of books from 1960 to 2020 in city Z?,Find Correlations/Trends,Line chart,Find Correlations/Trends,CALVI,multiple-choice
38,CALVI_39,A will be the most popular brand of ice cream.,B will be the least popular brand of ice cream.,C will be the most popular brand of ice cream.,Too early to say.,A will be the most popular brand of ice cream.,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T45.png,Choropleth map,"Assuming today is May 01, and half of the votes from each state for a favorite ice cream brand have been counted. The color of each state corresponds to the brand that has received the most votes in that state so far. The brand with the most number of colored states will be the most popular brand, and the results will be finalized on May 15. Which of the following is true?",Make Predictions,Choropleth map,Make Predictions,CALVI,multiple-choice
39,CALVI_40,True,False,Cannot be inferred / Inadequate Information,,True,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T46.png,Scatterplot,"True or False: If the temperature gets higher than 100°F, then the bottles of water sold must be greater than 750.",Make Predictions,Scatterplot,Make Predictions,CALVI,multiple-choice
40,CALVI_41,True,False,Cannot be inferred / Inadequate Information,,True,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T47.png,Pie chart,True or False: More than half of the people in county Z prefer reading at night.,Make Comparisons,Pie chart,Make Comparisons,CALVI,multiple-choice
41,CALVI_42,Hiking trail A will be voted as the favorite trail.,Hiking trail B will be voted as the favorite trail.,Hiking trail C will be voted as the favorite trail.,Too early to say.,Hiking trail A will be voted as the favorite trail.,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T48.png,Bar chart,"The residents of town Y are voting on a favorite hiking trail, and half of the votes have been counted. The poll closes on Sep 01, 2022. Which of the following is true?",Make Predictions,Bar chart,Make Predictions,CALVI,multiple-choice
42,CALVI_43,200,300,400,500,300,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T49.png,Bar chart,"In town X, what is the approximate average number of customers at mall A from Jan to Mar?",Aggregate Values,Bar chart,Aggregate Values,CALVI,multiple-choice
43,CALVI_44,20,30,40,50,30,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T50.png,Scatterplot,"In city Z, what is the approximate average number of new buildings built from 1950 to 1952?",Aggregate Values,Scatterplot,Aggregate Values,CALVI,multiple-choice
44,CALVI_45,True,False,Cannot be inferred / Inadequate Information,,True,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T52.png,Line chart,True or False: Monthly sales for store B is increasing from Jan to Dec.,Find Correlations/Trends,Line chart,Find Correlations/Trends,CALVI,multiple-choice
45,CALVI_46,40%,50%,60%,70%,,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/N1.png,Bar chart,What is the number of visitors at theater A as a proportion of that at theater B in 2001?,Make Comparisons,Bar chart,Make Comparisons,CALVI,multiple-choice
46,CALVI_47,It was higher on Jan 08 than Jan 07.,It increased from Jan 11 to Jan 15.,All of the days had more than 25 accidents.,It decreased from Jan 03 to Jan 07.,,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/N2.png,Bar chart,Which statement about the daily number of traffic accidents from Jan 01 to Jan 15 in state Z is true?,Make Comparisons,Bar chart,Make Comparisons,CALVI,multiple-choice
47,CALVI_48,"On Jul 02, shop B had more customers than A and C combined.",The number of customers at shop C decreased from Jul 01 to Jul 03.,The number of customers at shop A increased from Jul 01 to Jul 03.,None of the above.,,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/N3.png,Stacked bar chart,Which of the following statements is true about the customers at the three bike shops in city Z?,Make Comparisons,Stacked bar chart,Make Comparisons,CALVI,multiple-choice
48,CALVI_49,Advertising expense for TV & radio was higher than that from social media in country A.,"In country C, company Z had less advertising expense for direct mail than the other two methods.",Company Z had the highest total advertising expense in country B.,None of the above.,,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/N4.png,Stacked bar chart,"Which of the following is true about the advertising expense breakdown of company Z in countries A, B, and C?",Make Comparisons,Stacked bar chart,Make Comparisons,CALVI,multiple-choice
49,CALVI_50,The market share of brand D is on an increasing trend from 2011 to 2015.,The market share of brand A is higher in 2011 than in 2012.,"In 2013, brand B had the largest market share among all four brands.",None of the above.,,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/N5.png,100% stacked bar chart,Which of the following is true about the four brands of perfume in city Z?,Find Correlations/Trends,100% stacked bar chart,Find Correlations/Trends,CALVI,multiple-choice
50,CALVI_51,It decreased from Mar to Jun for company A.,It is higher in Feb for company B than company A.,It increased from Sep to Dec for company B.,None of the above.,,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/N6.png,Line chart,Which of the following about the monthly number of new clients is true?,Find Correlations/Trends,Line chart,Find Correlations/Trends,CALVI,multiple-choice
51,CALVI_52,"Increasing, then decreasing","Decreasing, then increasing",Cannot be inferred / inadequate information,,,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/N7.png,Line chart,What is the trend of the monthly number of new restaurant openings in county Y in 2000?,Find Correlations/Trends,Line chart,Find Correlations/Trends,CALVI,multiple-choice
52,CALVI_53,Yes,No,Cannot be inferred / inadequate information,,,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/N8.png,Area chart,Is the total number of beers consumed by person Z in the first half of 2005 higher than that in the second half?,Make Comparisons,Area chart,Make Comparisons,CALVI,multiple-choice
53,CALVI_54,40%,60%,80%,100%,,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/N9.png,Stacked bar chart,"Approximately, what is store C's total sales as a proportion of store B's total sales in 1995?",Make Comparisons,Stacked bar chart,Make Comparisons,CALVI,multiple-choice
54,CALVI_55,Yes,No,Cannot be inferred / inadequate information,,,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/N10.png,Scatterplot,Is there a positive relationship between SAT score and annual family income for students in city Z?,Find Correlations/Trends,Scatterplot,Find Correlations/Trends,CALVI,multiple-choice
55,CALVI_56,There is a negative relationship between sleep quality score and average weekly hours spent outdoors for town X.,There is a positive relationship between sleep quality score and average weekly hours spent outdoors for town Y.,Most residents in town X spend more than 6 hours outdoors every week.,None of the above.,,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/N11.png,Scatterplot,Which of the following is true about the residents in towns X and Y?,Find Correlations/Trends,Scatterplot,Find Correlations/Trends,CALVI,multiple-choice
56,CALVI_57,Store A has less than half of the total market share.,Store C has a higher market share than store B.,Store B has the second highest market share.,None of the above.,,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/N12.png,Pie chart,Which of the following is true about the market share of grocery stores in town Z?,Make Comparisons,Pie chart,Make Comparisons,CALVI,multiple-choice
57,CALVI_58,More than 60% of residents have a Bachelor's degree or above.,The majority of residents have a graduate degree.,There are fewer residents whose education level is Associate degree than those with a high school degree.,None of the above.,,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/N13.png,Pie chart,Which of the following is true about the education level of residents in city Z?,Make Comparisons,Pie chart,Make Comparisons,CALVI,multiple-choice
58,CALVI_59,AZ,NV,TN,Cannot be inferred / inadequate information,,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/N14.png,Choropleth map,Which of the following states has the highest number of Lego owners?,Make Comparisons,Choropleth map,Make Comparisons,CALVI,multiple-choice
59,CALVI_60,It is more popular in region E than in D.,It is less popular in region A than in C.,It is more popular in region B than in C.,It is less popular in region C than in D.,,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/N15.png,Choropleth map,Which of the following is true about Restaurant R?,Make Comparisons,Choropleth map,Make Comparisons,CALVI,multiple-choice
